,Unnamed: 0,id,date,timepandemic,age,raceD,canada,provinceCA,sex,genderid,genderD,SexOrientationR,LGBTQ,LGBT_Subgroup,ARM_P,ARM_R,ARM_Total,WCC_P,WCC_SS,WCC_B,WCC_W,WCC_A,WCC_missing,Resilience_1,Resilience_2,Resilience_3,Resilience_4,Resilience_5,Resilience_6,Resilience_7,Resilience_8,Resilience_9,Resilience_10,Resilience_11,Resilience_12,Resilience_13,Resilience_14,Resilience_15,Resilience_16,Resilience_17,Coping_1,Coping_2,Coping_3,Coping_4,Coping_5,Coping_6,Coping_7,Coping_8,Coping_9,Coping_10,Coping_11,Coping_12,Coping_13,Coping_14,Coping_15,Coping_16,Coping_17,Coping_18,Coping_19,Coping_20,Coping_21,Coping_22,Coping_23,Coping_24,Coping_25,Coping_26,Coping_27,Coping_28,Coping_29,Coping_30,Coping_31,Coping_32,Coping_33,Coping_34,Coping_35,Coping_36,Coping_37,Coping_38,Coping_39,Coping_40,Coping_41,Coping_42
0,0,1,7/21/2020 16:37:33,130,28,1,1,11,1,1,0,4,1,3,47,33,80,18,10,3,8,10,1,3,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2,7/21/2020 17:13:22,130,30,0,1,9,1,1,0,1,0,0,41,25,66,36,16,3,10,11,1,4,5,4,3,3,5,3,3,4,4,4,4,4,4,4,5,3,2,1,2,1,4,3,1,1,4,2,1,2,3,1,1,1,1,1,1,1,3,1,2,3,1,1,3,3,3,4,1,1,2,1,4,3,1,1,1,1,1,1
2,2,3,7/21/2020 17:26:48,130,32,1,1,11,1,1,0,1,0,0,33,24,57,17,10,3,14,16,1,3,4,3,3,3,4,3,3,3,3,4,3,3,4,4,4,3,1,1,3,1,1,1,1,1,1,1,3,2,1,1,2,2,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,3,3,1,2,1,1
3,3,4,7/21/2020 17:46:30,130,36,1,1,11,0,0,0,7,1,2,47,33,80,38,16,3,10,17,1,5,5,5,5,5,5,5,4,5,4,5,4,4,5,5,5,4,4,1,3,1,2,4,1,1,1,3,1,2,3,1,2,1,2,3,1,1,2,1,1,3,1,1,2,3,3,2,3,4,1,3,3,1,2,1,1,3,4,1
4,4,5,7/21/2020 17:51:06,130,58,1,1,11,0,0,0,1,0,0,38,23,61,35,16,3,9,10,1,2,4,4,2,3,4,4,3,4,4,4,4,4,3,3,5,4,3,2,2,1,2,3,1,1,4,3,1,1,1,1,1,1,1,3,1,1,4,1,3,3,1,1,3,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1
5,5,6,7/21/2020 18:10:30,130,23,0,1,11,1,1,0,1,0,0,45,35,80,39,24,5,20,14,1,4,4,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,3,3,4,3,4,4,2,3,3,4,2,1,3,1,1,1,3,2,1,1,3,1,4,3,1,3,3,3,2,3,2,3,3,3,3,3,3,3,1,1,1,1
6,6,7,7/21/2020 18:10:49,130,51,1,1,11,0,0,0,1,0,0,43,32,75,22,13,3,8,13,1,4,3,5,5,5,5,4,4,4,4,4,5,4,5,5,5,4,3,1,3,1,1,2,1,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,3,1
7,7,8,7/21/2020 19:12:43,130,22,1,1,11,1,1,0,3,1,3,33,25,58,27,15,6,13,26,1,3,4,4,4,3,5,4,2,3,2,4,4,2,3,3,4,4,1,2,2,2,1,2,2,2,3,3,1,3,2,2,3,2,2,1,1,2,3,1,2,2,2,2,3,2,2,2,1,3,1,2,2,2,1,3,3,3,3,3
8,8,9,7/21/2020 19:50:15,130,48,0,1,11,1,1,0,1,0,0,35,30,65,33,17,3,14,14,1,3,4,4,3,3,5,3,5,3,3,5,3,3,5,5,4,4,4,2,3,1,1,2,2,1,2,4,1,1,2,1,1,2,2,1,1,1,2,1,2,3,1,1,4,1,3,2,2,4,2,2,2,2,3,1,2,2,3,1
9,9,10,7/21/2020 19:58:09,130,33,1,1,11,1,1,0,2,0,0,37,31,68,35,17,3,13,10,1,3,4,3,3,5,5,5,4,3,3,5,3,4,5,4,4,5,3,3,3,1,3,3,1,1,3,3,1,1,3,1,1,3,2,2,1,1,3,1,3,2,1,3,3,3,1,2,2,2,3,1,1,1,1,1,1,1,1,1
10,10,11,7/21/2020 20:00:30,130,21,1,1,11,1,1,0,4,1,3,45,35,80,23,17,4,16,17,1,5,5,4,5,5,5,4,5,4,4,5,5,4,5,5,5,5,2,2,3,2,2,1,2,1,3,3,1,1,2,1,2,1,2,1,1,1,2,2,2,2,1,3,1,1,2,1,2,2,3,1,3,2,2,1,3,1,3,3
11,11,12,7/21/2020 20:01:27,130,60,1,1,11,1,1,0,1,0,0,40,28,68,24,11,5,14,12,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,4,1,1,1,1,1
12,12,13,7/21/2020 20:44:57,130,39,0,1,11,1,1,0,1,0,0,34,35,69,33,15,5,19,14,1,2,3,2,5,5,5,4,5,4,3,5,4,5,4,5,3,5,1,3,4,3,3,3,3,3,3,3,3,1,3,1,1,3,2,2,2,1,3,1,2,2,1,2,2,2,2,3,2,2,1,1,1,1,4,2,1,1,1,1
13,13,14,7/21/2020 21:20:10,130,39,0,1,9,0,0,0,7,1,2,35,25,60,30,16,5,14,17,1,3,4,4,4,4,5,3,3,4,3,4,5,3,3,3,3,2,2,1,3,3,3,2,2,2,3,3,2,1,2,1,2,1,2,1,1,1,2,2,2,2,1,2,2,2,2,4,3,1,1,3,2,2,1,1,2,2,3,2
14,14,15,7/21/2020 21:44:21,130,29,1,1,11,1,1,0,1,0,0,43,29,72,39,17,3,19,10,1,4,5,4,4,3,5,5,4,4,5,4,4,4,4,5,4,4,2,2,3,1,3,3,1,1,3,3,3,1,3,1,1,2,2,3,1,1,2,1,3,3,1,2,4,3,2,3,3,2,2,2,2,4,4,1,1,1,1,1
15,15,16,7/21/2020 21:51:37,130,36,1,1,11,1,1,0,1,0,0,39,32,71,23,9,5,16,15,1,4,4,3,5,5,3,5,4,4,1,5,5,3,5,5,5,5,1,3,3,3,1,3,3,3,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1
16,16,17,7/21/2020 21:57:09,130,67,1,1,11,1,1,0,1,0,0,39,31,70,43,15,3,10,10,1,4,4,4,5,5,4,4,4,3,4,4,3,4,4,5,5,4,4,3,3,1,3,3,1,1,4,1,1,1,2,1,1,4,1,4,1,1,4,1,3,3,1,1,4,3,1,4,3,1,1,1,2,1,1,1,1,1,1,1
17,17,18,7/21/2020 21:58:51,130,35,1,1,9,1,1,0,3,1,3,30,17,47,33,15,3,18,18,1,4,3,4,2,2,5,4,2,2,2,2,3,3,3,2,2,2,3,2,2,1,2,2,2,1,3,3,1,1,3,1,2,1,3,2,1,1,2,1,3,3,1,3,3,2,3,1,3,2,1,2,2,3,3,2,2,3,2,3
18,18,19,7/21/2020 22:13:24,130,37,1,1,11,1,1,0,1,0,0,33,23,56,30,18,8,24,28,1,2,2,4,4,3,5,4,4,3,3,2,3,3,4,3,5,2,3,1,4,3,1,2,4,1,3,4,4,3,2,4,4,2,4,2,1,1,1,2,3,2,2,1,2,3,3,1,1,3,1,3,2,4,4,2,4,4,3,4
19,19,20,7/21/2020 22:22:35,130,25,1,1,11,1,1,0,2,0,0,47,30,77,32,26,11,21,25,1,5,5,3,3,4,5,4,5,5,5,4,5,5,5,4,5,5,2,4,4,3,3,2,1,1,3,4,4,4,2,4,4,1,4,1,1,4,2,2,4,4,4,2,3,1,1,3,2,4,4,4,4,2,2,2,4,1,2,2
20,20,21,7/21/2020 22:34:43,130,56,1,1,11,1,1,0,1,0,0,42,32,74,45,15,4,14,11,1,4,5,3,4,5,4,4,4,5,5,5,4,4,4,5,4,5,2,2,1,2,4,4,1,2,3,3,2,1,4,1,1,3,3,2,1,1,3,1,3,4,1,2,3,4,3,4,2,3,1,1,3,1,2,1,1,1,1,1
21,21,22,7/21/2020 22:43:26,130,29,1,1,11,1,1,0,1,0,0,34,27,61,33,17,5,14,12,1,4,4,4,4,4,4,3,3,2,3,4,3,4,4,4,3,4,1,3,4,3,2,4,1,2,3,4,1,1,2,1,1,1,2,4,1,1,1,1,3,2,1,3,2,3,3,3,1,2,1,1,3,1,2,1,1,1,1,2
22,22,23,7/21/2020 23:18:59,130,45,1,1,3,0,0,0,7,1,2,40,27,67,35,17,3,18,16,1,4,3,4,2,2,5,4,4,4,4,5,4,4,5,5,4,4,2,1,3,1,1,4,1,1,3,3,3,1,4,1,3,1,3,2,1,1,3,2,3,3,1,2,3,2,2,2,2,4,1,1,3,2,4,3,2,2,1,1
23,23,24,7/22/2020 0:01:47,131,51,1,1,11,1,1,0,1,0,0,41,30,71,30,10,4,11,14,1,4,2,5,5,2,5,4,4,5,3,4,5,5,5,5,3,5,4,2,2,2,2,3,1,1,2,2,1,1,2,1,1,1,2,2,1,1,1,1,2,3,1,1,2,3,2,1,2,1,1,1,1,1,2,2,1,1,4,1
24,24,25,7/22/2020 0:26:26,131,40,1,1,11,1,1,0,1,0,0,45,31,76,48,20,6,22,21,1,5,5,5,5,4,5,4,4,4,4,5,5,4,4,4,5,4,4,2,3,3,2,4,1,4,4,2,4,1,4,2,2,3,4,3,1,1,2,1,4,4,1,2,4,4,4,3,3,2,4,2,3,4,4,3,2,1,4,2
25,25,26,7/22/2020 2:49:40,131,28,1,1,11,1,1,0,1,0,0,37,29,66,33,13,4,14,15,1,3,5,4,3,4,5,3,5,4,4,5,3,4,3,3,4,4,3,3,3,2,2,4,3,1,4,3,1,2,3,1,1,4,3,1,1,1,2,1,1,2,1,1,1,2,1,4,1,1,1,1,2,1,1,4,2,1,1,1
26,26,27,7/22/2020 5:55:16,131,43,1,1,2,1,1,0,1,0,0,46,31,77,33,12,4,14,15,1,5,4,5,4,4,5,5,4,4,4,4,4,5,5,5,5,5,3,1,1,1,1,3,2,2,2,2,1,1,3,2,3,2,3,2,1,1,2,2,2,3,1,1,4,2,2,2,2,2,1,2,2,2,2,1,1,2,2,1
27,27,28,7/22/2020 6:17:39,131,26,1,1,11,0,0,0,7,1,2,38,26,64,31,15,6,17,20,1,4,4,3,4,3,4,4,2,4,4,4,4,4,3,5,4,4,1,2,2,2,3,3,3,2,3,3,2,1,2,2,3,2,1,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,1,2,3,2,3,3,3,1,2,2
28,28,29,7/22/2020 8:40:09,131,25,1,1,11,1,1,0,1,0,0,43,35,78,30,20,6,18,19,1,3,5,4,5,5,5,5,5,4,3,5,4,5,5,5,5,5,4,2,4,3,2,2,2,2,3,4,2,1,2,2,1,2,3,1,1,1,2,1,3,3,2,3,2,2,1,2,2,2,1,2,4,2,3,4,2,1,4,1
29,29,30,7/22/2020 10:48:04,131,36,0,0, ,0,0,0,7,1,2,42,33,75,41,21,8,14,17,1,4,5,5,5,5,5,4,3,4,3,5,5,4,4,5,4,5,2,2,3,3,4,3,2,1,4,4,1,1,3,1,2,2,3,2,1,4,2,1,3,3,1,2,3,3,3,3,3,3,2,3,4,2,1,2,2,3,2,2
30,30,31,7/22/2020 11:05:28,131,28,1,1,11,1,1,0,4,1,3,43,33,76,31,22,3,9,11,1,4,4,4,5,4,5,4,4,5,4,5,5,5,4,5,4,5,2,2,4,1,2,4,1,1,3,4,1,1,1,1,1,3,1,2,1,1,3,1,4,3,1,1,1,3,1,2,3,1,1,3,3,1,1,2,1,1,1,1
