,id,date,timepandemic,age,raceD,canada,provinceCA,sex,genderid,genderD,SexOrientationR,LGBTQ,LGBT_Subgroup,ARM_P,ARM_R,ARM_Total,WCC_P,WCC_SS,WCC_B,WCC_W,WCC_A,WCC_missing,Resilience_1,Resilience_2,Resilience_3,Resilience_4,Resilience_5,Resilience_6,Resilience_7,Resilience_8,Resilience_9,Resilience_10,Resilience_11,Resilience_12,Resilience_13,Resilience_14,Resilience_15,Resilience_16,Resilience_17,Coping_1,Coping_2,Coping_3,Coping_4,Coping_5,Coping_6,Coping_7,Coping_8,Coping_9,Coping_10,Coping_11,Coping_12,Coping_13,Coping_14,Coping_15,Coping_16,Coping_17,Coping_18,Coping_19,Coping_20,Coping_21,Coping_22,Coping_23,Coping_24,Coping_25,Coping_26,Coping_27,Coping_28,Coping_29,Coping_30,Coping_31,Coping_32,Coping_33,Coping_34,Coping_35,Coping_36,Coping_37,Coping_38,Coping_39,Coping_40,Coping_41,Coping_42
count,9615.0,9615,9615.0,7790,7772,7781,7444,7113,7110,7105,7029,7042,7105,6689,6680,6676,5456,5446,5466,5469,5447,9615.0,6697,6696,6698,6697,6696,6693,6693,6689,6691,6688,6686,6690,6688,6688,6679,6693,6673,5505,5496,5504,5501,5497,5501,5497,5497,5491,5494,5490,5491,5483,5487,5485,5478,5478,5475,5472,5469,5475,5473,5472,5467,5468,5465,5465,5459,5447,5446,5450,5448,5452,5445,5446,5441,5448,5451,5451,5446,5446,5442
unique,,9597,,79,2,2,13,2,4,2,9,2,5,39,29,62,44,23,10,27,32,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
top,,7/1/2021 19:46:46,,37,1,1,11,1,1,0,1,0,0,38,28,70,32,16,3,8,13,,4,4,4,5,4,5,4,4,4,3,5,4,4,4,5,5,4,1,1,3,1,2,3,1,1,3,3,1,1,2,1,1,1,1,2,1,1,2,1,2,3,1,1,3,2,1,1,2,2,1,1,1,1,4,1,1,1,1,1
freq,,2,,195,6975,7447,4860,5336,4922,6482,4716,5064,5176,443,479,265,268,430,2422,388,462,,3116,2547,2821,2199,2038,4260,3169,1937,2260,2037,2612,2206,2562,2852,3286,2451,2414,2098,2232,1748,2746,1755,2058,2231,3015,1610,1894,3326,3396,1733,4279,2142,2875,1989,1951,4569,4523,1887,3636,1894,1884,3585,2140,1668,1817,1938,1739,2048,1636,3173,2773,1835,2355,1397,2715,2682,2914,2016,2892
mean,4809.163182527301,,488.59490379615187,,,,,,,,,,,,,,,,,,,0.5648465938637546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
std,2776.825330191332,,225.5274748053162,,,,,,,,,,,,,,,,,,,0.49580286971477994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min,1.0,,130.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25%,2404.5,,235.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50%,4809.0,,517.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75%,7212.5,,683.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,9621.0,,919.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
